time,Nu,heat_flux,Q,Q_num,norm_grad_u,norm_A,KE
0.0114,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0115,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.011600000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0117,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0118,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0119,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.012,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.012100000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0122,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0123,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.012400000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0125,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0126,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.012700000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0128,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0129,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0131,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0132,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013300000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0134,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0135,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013600000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0137,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013800000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.013900000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.014,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.014100000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0142,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0143,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.014400000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0145,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0146,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.014700000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0148,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0149,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.015000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0151,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0152,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.015300000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0154,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0155,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.015600000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.015700000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0158,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0159,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.016,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0161,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0162,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.016300000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0164,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0165,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0166,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0167,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.016800000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.016900000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.017,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0171,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0172,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0173,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.017400000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0175,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0176,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0177,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0178,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0179,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.018000000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0181,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0182,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0183,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0184,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.018500000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.018600000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0187,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0188,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0189,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.019,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.019100000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.019200000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0193,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0194,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0195,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0196,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.019700000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0198,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0199,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0201,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.020200000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.020300000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0204,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0205,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0206,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0207,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.020800000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.020900000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.021,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0211,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0212,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0213,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.021400000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.021500000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0216,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0217,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0218,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0219,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.022000000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0221,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0222,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0223,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0224,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.022500000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.022600000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0227,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0228,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0229,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.023,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.023100000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.023200000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0233,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0234,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0235,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0236,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.023700000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0238,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0239,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.024,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0241,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.024200000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.024300000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0244,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0245,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0246,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0247,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.024800000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.024900000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.025,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0251,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0252,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0253,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.025400000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.025500000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0256,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0257,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0258,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.025900000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.026000000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0261,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0262,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0263,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0264,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.026500000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.026600000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0267,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0268,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0269,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.027,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.027100000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.027200000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0273,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0274,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0275,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.027600000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.027700000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.027800000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0279,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.028,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0281,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.028200000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.028300000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0284,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0285,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0286,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0287,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.028800000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.028900000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.029,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0291,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0292,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.029300000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.029400000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.029500000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0296,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0297,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0298,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.029900000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.030000000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.030100000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0302,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0303,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0304,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.030500000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.030600000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0307,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0308,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0309,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.031,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.031100000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.031200000000000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0313,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.031400000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0315,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0316,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0317,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0318,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.031900000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.032,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.032100000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0322,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0323,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0324,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0325,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.032600000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0327,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0328,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0329,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.033,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.033100000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0332,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0333,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0334,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0335,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.033600000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0337,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.033800000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0339,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.034,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0341,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0342,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.034300000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0344,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0345,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0346,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0347,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.034800000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0349,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.035,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0351,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0352,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.035300000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0354,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.035500000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0356,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0357,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0358,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0359,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.036000000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0361,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0362,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0363,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0364,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.036500000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0366,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0367,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0368,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0369,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.037000000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0371,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.037200000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0373,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0374,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0375,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0376,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.037700000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0378,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0379,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.038,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0381,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.038200000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0383,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.038400000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0385,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0386,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.038700000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0388,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.038900000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.039,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0391,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0392,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0393,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.039400000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0395,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0396,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0397,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0398,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.039900000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.040100000000000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0402,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0403,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.040400000000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0
